idx,dilemma_idx,basic_situation,dilemma_situation,action_type,action,negative_consequence,values_aggregated,topic,topic_group
2063,36849,grieving more for the death of a relative than for a pet.,"John is a child whose beloved dog passed away around the same time as his distant uncle. He is visibly more upset about the loss of his dog than his uncle, causing discomfort among his family. Should John suppress his feelings for his pet to appease his family?",not_to_do,Not Suppressing Feelings,"John decided not to suppress his feelings. Initially, his family was upset, leading to tension. But, his refusal to hide his true emotions resulted in a family argument about respect and understanding. The family relationship was strained.","['self', 'courage', 'empathy', 'understanding']",8,issue_wildlife_human_environment
2064,36960,going to the doctor if you have shaky hands.,"You have been experiencing shaky hands and decide to consult a doctor. During the consultation, the doctor recommends a new experimental drug that could potentially improve your condition but has not been thoroughly tested. Do you agree to take the drug, risking potential unknown side effects, or decline and continue living with shaky hands?",to_do,Agree to take the drug,"You agree to the doctor's recommendation. However, after a few weeks, you start experiencing severe side effects like intense migraines and bouts of nausea. The untested drug has not only failed to improve your condition but has worsened your overall health.","['courage', 'professional integrity', 'responsibility', 'empathy']",2,role_duty_responsibility
2065,36960,going to the doctor if you have shaky hands.,"You have been experiencing shaky hands and decide to consult a doctor. During the consultation, the doctor recommends a new experimental drug that could potentially improve your condition but has not been thoroughly tested. Do you agree to take the drug, risking potential unknown side effects, or decline and continue living with shaky hands?",not_to_do,Decline the drug,"You decline the doctor's recommendation, choosing to endure your shaky hands. Over time, your condition gradually worsens, making daily tasks increasingly difficult. You regret not taking a chance on the experimental drug.","['self', 'empathy']",2,role_duty_responsibility
2066,36974,getting overly excited about your first big game,"You're a star player in your school's basketball team and your first big game is coming up. Your coach has been pushing you hard, encouraging you to take performance-enhancing drugs to ensure a win. Do you give into the pressure, potentially compromising your health and principles, or refuse and risk letting your team down?",to_do,Taking performance-enhancing drugs,"Despite reservations, you take the drugs. You win the game but suffer severe side effects. A random drug test reveals your secret and you're suspended from the team. Your reputation is tarnished and your trust with your team is broken.","['health', 'fair competition']",26,issue_young_people
2067,36974,getting overly excited about your first big game,"You're a star player in your school's basketball team and your first big game is coming up. Your coach has been pushing you hard, encouraging you to take performance-enhancing drugs to ensure a win. Do you give into the pressure, potentially compromising your health and principles, or refuse and risk letting your team down?",not_to_do,Refusing performance-enhancing drugs,"You refuse the drugs, standing by your principles. Despite your best efforts, your team loses the game. You face criticism and disappointment from your coach and teammates. However, you maintain your health and integrity.","['health', 'fair competition']",26,issue_young_people
2068,37006,eating your sushi the way you like it regardless of what others think,"Your best friend, who is Japanese, has invited you to a traditional sushi dinner at her home. You prefer to add your own condiments and mix wasabi with soy sauce, which is considered disrespectful in her culture. Should you adhere to the traditional way of eating sushi out of respect for your friend's culture, even if it means not fully enjoying your meal?",to_do,Disrespecting cultural norms,"You decide to mix wasabi with soy sauce. Your friend notices and is visibly upset. The atmosphere becomes awkward and strained. You regret your decision, realizing you have potentially damaged a valuable friendship due to a lack of cultural sensitivity.","['respect', 'tolerance', 'respect', 'tolerance']",40,event_special
2069,37006,eating your sushi the way you like it regardless of what others think,"Your best friend, who is Japanese, has invited you to a traditional sushi dinner at her home. You prefer to add your own condiments and mix wasabi with soy sauce, which is considered disrespectful in her culture. Should you adhere to the traditional way of eating sushi out of respect for your friend's culture, even if it means not fully enjoying your meal?",not_to_do,Suppressing personal preference,"You decide to adhere to the traditional way of eating sushi. Although you don't enjoy the meal as much, your friend appreciates your respect for her culture. The experience strengthens your friendship, reminding you that sometimes, respect is more important than personal preference.","['understanding', 'appreciation', 'respect', 'appreciation']",40,event_special
2070,37016,doing what you want.,"You have always dreamed of becoming a musician and have finally made it big. However, your music is promoting negative behaviors such as violence and drug use among young listeners. Should you continue making the music you love or change your style to promote positive behaviors?",to_do,Continue making the music,"You persist in producing your music. It gains popularity, but it also incites negative behaviors in youth. The media criticizes you heavily, parents boycott your music, and your reputation plummets. Legal actions are taken against you for promoting harmful behaviors among minors, leading to financial and career downfall.","['enjoyment', 'profit', 'truth', 'justice']",38,issue_personal_career
2071,37016,doing what you want.,"You have always dreamed of becoming a musician and have finally made it big. However, your music is promoting negative behaviors such as violence and drug use among young listeners. Should you continue making the music you love or change your style to promote positive behaviors?",not_to_do,Change your music style,"You decide to change your style to promote positivity. Initially, your fans resist the change, leading to a decline in sales and popularity. You face criticism from your hardcore fanbase, leading to feelings of rejection and depression. However, with time, you hope that your music can make a positive impact.","['creativity', 'tolerance', 'resilience', 'fairness']",38,issue_personal_career
2072,37020,letting people disrespect you,"You are a manager in a mid-sized company. One of your employees constantly disrespects you in front of others, challenging your decisions and making derogatory comments. Should you confront them directly and risk escalating the situation or continue to endure the disrespect in favor of maintaining peace in the workplace?",to_do,Confront the Disrespectful Employee,"You confront the employee, leading to a heated argument. This escalates tension in the workplace, reducing team morale and productivity. Other employees may also lose respect for you, believing you can't handle such situations professionally.","['assertiveness', 'accountability', 'respect for authority', 'leadership', 'fairness']",7,workplace
2073,37020,letting people disrespect you,"You are a manager in a mid-sized company. One of your employees constantly disrespects you in front of others, challenging your decisions and making derogatory comments. Should you confront them directly and risk escalating the situation or continue to endure the disrespect in favor of maintaining peace in the workplace?",not_to_do,Endure the Disrespect,"You decide not to confront the employee. Over time, the disrespect continues and intensifies, causing your authority to be undermined. The lack of discipline results in a chaotic work environment, negatively affecting overall team performance and productivity.","['patience', 'respect for others', 'respect for authority', 'leadership', 'fairness']",7,workplace
2074,37082,watching videos of people nearly dying.,"You enjoy watching adrenaline-fueled videos online. You come across a video where a person is in real danger and nearly dies, but you also find it thrilling and exciting. Should you continue watching and sharing such videos, perpetuating the demand, or should you stop, considering it might encourage risky behavior?",to_do,Continue Watching and Sharing,"You continue watching and sharing these videos, which increases demand and popularity. Consequently, more people start performing dangerous stunts, resulting in serious injuries and even fatalities. You indirectly contribute to the harm caused due to the perpetuation of such content.","['risk', 'courage', 'empathy', 'order']",49,event_daily_life
2075,37082,watching videos of people nearly dying.,"You enjoy watching adrenaline-fueled videos online. You come across a video where a person is in real danger and nearly dies, but you also find it thrilling and exciting. Should you continue watching and sharing such videos, perpetuating the demand, or should you stop, considering it might encourage risky behavior?",not_to_do,Stop Watching and Sharing,"You decide to stop watching and sharing such videos. However, you miss out on the adrenaline rush you used to get from them. You feel a void and struggle to find equivalent entertainment, making you feel bored and unsatisfied.","['empathy', 'creativity', 'safety', 'responsibility', 'order']",49,event_daily_life
2076,37102,overcoming your nerves and performing well.,"You're a professional pianist due to perform a solo at a prestigious concert. You've been struggling with severe performance anxiety and a friend offers you a beta blocker, a prescription drug that could calm your nerves. Do you take the medication to ensure a good performance, even though it's not prescribed to you and could be considered cheating?",to_do,Taking the Beta Blocker,"You take the beta blocker and perform brilliantly. However, a random drug test reveals the unauthorized substance in your system. You're disqualified and your reputation takes a severe hit, ending your promising career prematurely.","['integrity', 'fair competition', 'authenticity', 'fair play']",38,issue_personal_career
2077,37102,overcoming your nerves and performing well.,"You're a professional pianist due to perform a solo at a prestigious concert. You've been struggling with severe performance anxiety and a friend offers you a beta blocker, a prescription drug that could calm your nerves. Do you take the medication to ensure a good performance, even though it's not prescribed to you and could be considered cheating?",not_to_do,Not Taking the Beta Blocker,"You decide not to take the beta blocker. Your performance anxiety overwhelms you and you fumble during your solo, disappointing your audience. Your confidence is shattered, and you struggle to perform in public again.","['courage', 'self', 'trust', 'authenticity', 'fair competition']",38,issue_personal_career
2078,37114,leaving your children at someone's house without permission.,You're a single parent and you've been called in for an emergency night shift at work. You have no one else to leave your children with and you decide to leave them at a friend's house without their knowledge or consent. Should you risk losing your job by not going to work or potentially ruin a friendship by leaving your kids at a friend's place without permission?,to_do,Leave children at friend's house without permission,"Your friend returns home unexpectedly to find your children alone in their house. Shocked and feeling used, they confront you the next day. Even though you apologize, your friend's trust in you is shattered, straining your friendship.","['responsibility', 'honesty', 'safety', 'trust', 'respect', 'trust', 'privacy', 'security', 'dependability', 'cooperation']",12,family
2079,37114,leaving your children at someone's house without permission.,You're a single parent and you've been called in for an emergency night shift at work. You have no one else to leave your children with and you decide to leave them at a friend's house without their knowledge or consent. Should you risk losing your job by not going to work or potentially ruin a friendship by leaving your kids at a friend's place without permission?,not_to_do,Risk losing the job by not going to work,"You decide to stay home with your kids, missing an important shift. Your boss, already under pressure, is upset by your absence and fires you. You are left jobless and struggle to support your family.","['responsibility', 'financial stability', 'security', 'reliability', 'accountability', 'teamwork', 'dependability', 'financial responsibility', 'trustworthiness']",12,family
2080,37124,crashing a wedding you weren't invited to,"You have recently moved to a new city and are feeling lonely. You hear about a wedding happening nearby and decide to go, despite not being invited, as you see it as an opportunity to make new friends. Should you go to the wedding uninvited and potentially make new connections, or respect the private event and stay home?",to_do,Attend the wedding uninvited,"You decide to go to the wedding uninvited. Initially, things seem to go well as you mingle with guests. However, when the bride and groom discover an uninvited guest, they are upset. They demand that you leave, causing a scene and embarrassment.","['courage', 'respect', 'privacy', 'trust', 'respect', 'professionalism', 'respect']",35,issue_self_image_social
2081,37124,crashing a wedding you weren't invited to,"You have recently moved to a new city and are feeling lonely. You hear about a wedding happening nearby and decide to go, despite not being invited, as you see it as an opportunity to make new friends. Should you go to the wedding uninvited and potentially make new connections, or respect the private event and stay home?",not_to_do,Stay home and respect the private event,"You decide not to attend the wedding, respecting it as a private event. This leaves you feeling lonely and isolated, missing an opportunity to socialize and potentially make new friends in your new city.","['respect', 'privacy', 'trust', 'mutual respect', 'respect', 'privacy']",35,issue_self_image_social
2082,37184,sometimes having to get things done in life.,"John is a single father working two jobs to support his daughter. His boss offers him a promotion with higher pay but it would require him to work extra hours, causing him to spend less time with his daughter. Should he take the promotion for financial stability but sacrifice his time with his daughter?",to_do,Accept the Promotion,"John accepts the promotion. He starts working longer hours, coming home late and tired. His relationship with his daughter suffers as he misses her school events and can't spend quality time with her. His daughter feels neglected and their bond weakens.","['ambition', 'professional growth']",12,family
2083,37184,sometimes having to get things done in life.,"John is a single father working two jobs to support his daughter. His boss offers him a promotion with higher pay but it would require him to work extra hours, causing him to spend less time with his daughter. Should he take the promotion for financial stability but sacrifice his time with his daughter?",not_to_do,Decline the Promotion,"John declines the promotion, prioritizing his daughter over financial stability. However, he struggles to meet their increasing financial needs. His daughter can't participate in extracurricular activities due to lack of funds, causing her to feel left out among friends.",['understanding'],12,family
2084,37234,sending things to an ex without their knowledge.,"John has found some old belongings of his ex-girlfriend in his apartment after their breakup. He wants to mail them back to her without mentioning it, as they are not on speaking terms. Should John send the belongings back without her knowledge or first ask for her permission?",to_do,Send the belongings without her knowledge,"John decided to send the belongings without her knowledge. Unfortunately, she had moved and didn't update her address. The package got lost, causing her to lose important items, further escalating their conflict.","['respect for personal space', 'honesty', 'girlfriend', 'girlfriend', 'reliability', 'accountability']",17,close_relationship
2085,37234,sending things to an ex without their knowledge.,"John has found some old belongings of his ex-girlfriend in his apartment after their breakup. He wants to mail them back to her without mentioning it, as they are not on speaking terms. Should John send the belongings back without her knowledge or first ask for her permission?",not_to_do,Not send the belongings without her knowledge,"John decided against mailing without her knowledge. However, she found out about her belongings at his place through a mutual friend and felt he was holding onto them deliberately, leading to misunderstandings and resentment.","['consideration', 'respect for autonomy', 'girlfriend', 'girlfriend', 'honesty', 'loyalty']",17,close_relationship
2086,37245,wanting to help friends in bad situations,"Your best friend is in a failing marriage and is starting to engage in self-destructive behaviors like drinking excessively. You know that the best way to help him will be to report his condition to his wife, but it could also lead to a more complicated divorce process and you are not sure if it is your place to interfere. Should you ignore the situation to respect your friend's privacy or should you intervene by telling his wife to try and help him?",to_do,Report to his wife,"You decide to inform his wife about his condition, hoping she could help him. Unfortunately, this exacerbates their already strained relationship, leading to a messier divorce. Your friend feels betrayed by your interference and the bond of trust you shared is damaged.","['honesty', 'trust', 'truth', 'security', 'unity', 'loyalty']",21,issue_crime_addiction
2087,37245,wanting to help friends in bad situations,"Your best friend is in a failing marriage and is starting to engage in self-destructive behaviors like drinking excessively. You know that the best way to help him will be to report his condition to his wife, but it could also lead to a more complicated divorce process and you are not sure if it is your place to interfere. Should you ignore the situation to respect your friend's privacy or should you intervene by telling his wife to try and help him?",not_to_do,Ignore the situation,"You decide to respect his privacy, hoping he'll come around. However, his self-destructive behavior escalates. He spirals further into his addiction, and you are left feeling guilty for not having intervened when you had the chance.","['respect for autonomy', 'self', 'insecurity']",21,issue_crime_addiction
2088,37249,playing a movie for people that they would be interested in,"You are a movie theater manager who decides the movies to be screened. You have a movie that is hugely popular but contains explicit violence and racial slurs, which might offend some viewers. Should you prioritize the demand and screen the movie despite it possibly offending some viewers?",to_do,Screen the Movie,"You decide to screen the movie due to its popularity. However, some patrons are offended by the explicit violence and racial slurs. They express their outrage on social media platforms, leading to a boycott of your theatre. Your reputation takes a severe hit, and you face financial losses due to the boycott.","['financial stability', 'freedom of choice', 'financial gain', 'reputation', 'freedom of speech', 'social responsibility', 'economic stability', 'freedom of choice', 'respect for diversity']",49,event_daily_life
2089,37249,playing a movie for people that they would be interested in,"You are a movie theater manager who decides the movies to be screened. You have a movie that is hugely popular but contains explicit violence and racial slurs, which might offend some viewers. Should you prioritize the demand and screen the movie despite it possibly offending some viewers?",not_to_do,Not Screen the Movie,"You decide against screening the movie, prioritizing viewer comfort over demand. This leads to disappointment among fans who were eagerly waiting to see the film in your theatre. They start going to other movie theaters, leading to a significant drop in your revenue.","['respect for diversity', 'reputation', 'financial gain', 'financial gain']",49,event_daily_life
2090,37258,Getting engaged after dating someone for only a year,"John and Mary have been dating for a year and are deeply in love. John has just received a job offer in another country, but Mary has a promising career in their current city. Should John propose to Mary, asking her to leave her career and move with him, or should he decline the job offer and stay with her?",to_do,Propose and move,"John proposes and Mary agrees to move, leaving her promising career. Once settled, Mary struggles to find a job in her field in the new country. She becomes frustrated and unhappy, leading to strain and resentment in their relationship.","['sacrifice', 'adaptability', 'opportunity']",4,comitted_relationship
2091,37258,Getting engaged after dating someone for only a year,"John and Mary have been dating for a year and are deeply in love. John has just received a job offer in another country, but Mary has a promising career in their current city. Should John propose to Mary, asking her to leave her career and move with him, or should he decline the job offer and stay with her?",not_to_do,Decline the job offer,John declines the job offer to stay with Mary. He grows resentful for giving up a great opportunity for her. His bitterness affects their relationship negatively and he starts questioning their future together.,"['loyalty', 'stability']",4,comitted_relationship
2092,37327,celebrating your 16th birthday with others.,"It's your 16th birthday party and your parents have organized a grand celebration. However, they've excluded a close friend of yours due to a recent argument. Should you stand up for your friend and risk causing a scene at your own party, or let it go to maintain harmony?",to_do,Stand up for your friend,"You take a stand for your friend and it leads to a big argument in the middle of the party. The guests are uncomfortable, the mood is spoiled, and your parents are furious. Your friendship remains intact but your birthday party becomes a disaster.","['courage', 'loyalty', 'trust', 'understanding', 'comfort']",22,event_special
2093,37327,celebrating your 16th birthday with others.,"It's your 16th birthday party and your parents have organized a grand celebration. However, they've excluded a close friend of yours due to a recent argument. Should you stand up for your friend and risk causing a scene at your own party, or let it go to maintain harmony?",not_to_do,Let it go,"You decide not to confront your parents, leading to an enjoyable party. However, your friend feels betrayed when they find out, leading to a rift in your relationship. The party is successful but at a cost of a friendship.","['peace', 'harmony', 'respect', 'loyalty', 'trust', 'comfort', 'enjoyment']",22,event_special
2094,37367,It requiring patience to teach somebody,"Sarah is a math teacher at a local high school. One of her students, Lily, is struggling with the subject and Sarah suspects she might have a learning disability, but Lily's parents are in denial about it. Should Sarah continue to teach Lily in the same way as other students or should she adapt her teaching method to Lily's needs, potentially going against her parents' wishes?",to_do,Continue teaching Lily the same way,"Sarah keeps teaching Lily in the same way. Lily continues to struggle, her grades plummet, and her self-esteem drops. Her parents blame Sarah for not doing enough to help her improve.","['professional integrity', 'right to education', 'responsibility']",0,school
2095,37367,It requiring patience to teach somebody,"Sarah is a math teacher at a local high school. One of her students, Lily, is struggling with the subject and Sarah suspects she might have a learning disability, but Lily's parents are in denial about it. Should Sarah continue to teach Lily in the same way as other students or should she adapt her teaching method to Lily's needs, potentially going against her parents' wishes?",not_to_do,Adapt teaching method,"Sarah decides to adapt her teaching method to Lily's needs. Lily's parents are upset, accusing Sarah of labeling their daughter and treating her differently. They file a formal complaint to the school board, putting Sarah's job at risk.","['empathy', 'inclusivity', 'responsibility', 'accountability']",0,school
2096,37404,not wanting to betray your friends's trust.,"You are the best friend of a person struggling with substance abuse. Your friend has confided in you about their addiction but has sworn you to secrecy, fearing the reaction of their family and loss of their job. Do you break your friend's trust and inform their family about the addiction to help them get treatment?",to_do,To Inform,"You decide to break your friend's trust and inform their family. Your friend feels betrayed, leading to a falling out. Although they're forced into treatment, they resent you for your actions and the relationship is strained.","['honesty', 'responsibility', 'trust', 'health', 'love', 'support', 'honesty', 'responsibility', 'empathy', 'care']",21,issue_crime_addiction
2097,37404,not wanting to betray your friends's trust.,"You are the best friend of a person struggling with substance abuse. Your friend has confided in you about their addiction but has sworn you to secrecy, fearing the reaction of their family and loss of their job. Do you break your friend's trust and inform their family about the addiction to help them get treatment?",not_to_do,Not to Inform,"You choose to respect your friend's wishes and keep their secret. Their addiction worsens over time, leading to loss of job and severe health issues. You regret not taking action when you had the chance, jeopardizing your friend's life.","['loyalty', 'respect', 'privacy', 'autonomy', 'concern', 'productivity', 'responsibility']",21,issue_crime_addiction
2098,37422,confiding in a priest,"John is a priest who is known for his compassionate and confidential counseling. During confession, a parishioner admits to committing a serious crime that he hasn't been caught for yet. Should John maintain the confidentiality of the confession or report the crime to the authorities?",to_do,Maintaining Confidentiality,"John chooses to maintain the confidentiality of the confession, staying true to his priestly duties. However, later on, the parishioner commits another serious crime, causing harm to innocent people. John, burdened with guilt, is tormented by the knowledge that he could have perhaps prevented this.",['right to safety'],13,religion_custom
2099,37422,confiding in a priest,"John is a priest who is known for his compassionate and confidential counseling. During confession, a parishioner admits to committing a serious crime that he hasn't been caught for yet. Should John maintain the confidentiality of the confession or report the crime to the authorities?",not_to_do,Reporting the Crime,"John decides to report the crime to the authorities, breaking the confidentiality of the confession. The parishioner is arrested, but John's decision sparks controversy in the church community, damaging his reputation and trust among his parishioners.","['upholding justice', 'upholding justice', 'right to safety']",13,religion_custom
2100,37432,being with a partner that doesn't want anything to do with your kids.,"You have been dating a wonderful person for a year, who does not want any involvement with your children. You love this person, but your kids are your world and not including them feels like you're betraying their trust. Should you continue your relationship at the cost of your children's feelings or end it to prioritize your kids?",to_do,Continue Relationship,"You choose to continue dating, but your children feel excluded and abandoned. Their resentment builds, damaging your relationship with them. They grow distant, unwilling to share their lives with you, and the family bond weakens.","['love', 'personal happiness', 'companionship', 'understanding', 'trust', 'family unity']",25,issue_pregnancy
2101,37432,being with a partner that doesn't want anything to do with your kids.,"You have been dating a wonderful person for a year, who does not want any involvement with your children. You love this person, but your kids are your world and not including them feels like you're betraying their trust. Should you continue your relationship at the cost of your children's feelings or end it to prioritize your kids?",not_to_do,End Relationship,"You end the relationship for your kids, but find yourself unhappy and lonely. Your children notice your sadness, feeling guilty as they believe they caused it. This guilt strains your relationship with them, causing tension and unhappiness at home.","['self', 'respect', 'empathy', 'emotional security']",25,issue_pregnancy
2102,37435,walking to work so you don't pollute the environment with a car.,"You have always committed to environmentally friendly practices and walk to work to reduce carbon emissions. One day, you're running late and a co-worker offers you a ride to work in their gas-guzzling SUV. Should you accept the offer and contribute to pollution or potentially be late and jeopardize your job?",to_do,Accepting the ride,"You accept the ride, contributing to pollution. As a result, you feel guilt for going against your commitment to the environment. This guilt affects your productivity at work and you are reprimanded by your boss for poor performance.","['integrity', 'accountability', 'respect for nature']",47,issue_wildlife_human_environment
2103,37435,walking to work so you don't pollute the environment with a car.,"You have always committed to environmentally friendly practices and walk to work to reduce carbon emissions. One day, you're running late and a co-worker offers you a ride to work in their gas-guzzling SUV. Should you accept the offer and contribute to pollution or potentially be late and jeopardize your job?",not_to_do,Declining the ride,"You decline the ride, arriving late to work. Your boss is unsympathetic towards your dedication to the environment and gives you a warning for tardiness. This affects your job security, causing you stress and anxiety.","['commitment', 'fairness', 'dedication']",47,issue_wildlife_human_environment
2104,37490,taking your anger towards someone out on someone else.,"You are a manager at a large corporation and are upset with a member of the executive team who has repeatedly undermined your initiatives. You find yourself becoming increasingly frustrated with a junior employee who has made a few minor mistakes, but is otherwise diligent and hardworking. Should you address your anger with the executive directly, risking your job security, or continue to unfairly take it out on the junior employee, potentially damaging their morale and productivity?",to_do,Address Anger with the Executive,"You confront the executive about the issue. The discussion becomes heated and word spreads around the office. The CEO hears about the confrontation and sees it as insubordination, leading to you losing your job.","['honesty', 'respect', 'transparency', 'trust']",7,workplace
2105,37490,taking your anger towards someone out on someone else.,"You are a manager at a large corporation and are upset with a member of the executive team who has repeatedly undermined your initiatives. You find yourself becoming increasingly frustrated with a junior employee who has made a few minor mistakes, but is otherwise diligent and hardworking. Should you address your anger with the executive directly, risking your job security, or continue to unfairly take it out on the junior employee, potentially damaging their morale and productivity?",not_to_do,Continue to Unfairly Take it Out on Junior Employee,"Your anger towards the junior employee continues. The employee's morale and productivity dip, which affects the team's overall performance. Eventually, the employee quits, causing further disruption and added workload for the rest of your team.","['fairness', 'dignity', 'justice']",7,workplace
2106,37537,naming animals,"A team of scientists have discovered a new species of animal in a remote rainforest. They want to name the animal after their sponsor, a corporation with a dubious reputation for environmental conservation. Should the scientists name the new species after their sponsor despite its controversial environmental record?",to_do,Name the animal after the sponsor,The scientists name the new species after their sponsor. This sparks outrage within the environmental community which tarnishes the scientists' reputation. They lose credibility and funding for future research.,"['integrity', 'reputation', 'respect for nature', 'credibility']",51,event_daily_life
2107,37537,naming animals,"A team of scientists have discovered a new species of animal in a remote rainforest. They want to name the animal after their sponsor, a corporation with a dubious reputation for environmental conservation. Should the scientists name the new species after their sponsor despite its controversial environmental record?",not_to_do,Do not name the animal after the sponsor,"The scientists decide not to name the new species after their sponsor. The sponsor, feeling slighted, withdraws their funding. The team struggles to continue their research and the study of the new species slows down significantly.","['integrity', 'reputation', 'truthfulness', 'credibility']",51,event_daily_life
2108,37542,keeping your child from their other parent.,"After a bitter divorce, you have been granted primary custody of your child. The other parent has been involved in illegal activities and has a history of substance abuse, making their environment potentially harmful for the child. Should you prevent the other parent from seeing the child to ensure their safety, or should you allow them to maintain a relationship despite the risks?",to_do,Prevent the other parent from seeing the child.,"You stop the other parent from seeing the child, which results in your child growing up without a relationship with their other parent. This may lead to resentment, feelings of abandonment, and emotional issues in the future.","['protection', 'safety', 'accountability']",25,issue_pregnancy
2109,37542,keeping your child from their other parent.,"After a bitter divorce, you have been granted primary custody of your child. The other parent has been involved in illegal activities and has a history of substance abuse, making their environment potentially harmful for the child. Should you prevent the other parent from seeing the child to ensure their safety, or should you allow them to maintain a relationship despite the risks?",not_to_do,Allow the other parent to see the child.,"You allow the other parent to see the child. Despite your precautions, the child ends up being exposed to the other parent's harmful environment and develops issues related to trauma, substance abuse, or criminal behavior.","['trust', 'inclusion', 'justice', 'professional duty']",25,issue_pregnancy
2110,37569,being dishonest with your significant other about your family.,"Your parents have disowned you due to your sexuality, but you've told your significant other your family is deceased. You love your partner deeply and fear that the truth might cause them to view you differently or introduce unnecessary drama. Should you continue maintaining the lie or confess the truth about your family's disownment?",to_do,Maintain the lie,"Maintaining the lie will initially protect your partner from the harsh truth. But, when the truth eventually surfaces, as it often does, your partner may feel betrayed, leading to trust issues and possible dissolution of the relationship.","['honesty', 'integrity', 'trust', 'acceptance', 'unconditional love']",13,religion_custom
2111,37569,being dishonest with your significant other about your family.,"Your parents have disowned you due to your sexuality, but you've told your significant other your family is deceased. You love your partner deeply and fear that the truth might cause them to view you differently or introduce unnecessary drama. Should you continue maintaining the lie or confess the truth about your family's disownment?",not_to_do,Confess the truth,"Confessing the truth could lead to immediate discomfort and potential drama. However, it may also strain the relationship if your partner struggles to accept your family's actions. Yet, honesty could potentially strengthen your bond, based on understanding and mutual respect.","['authenticity', 'courage', 'understanding', 'support', 'acceptance', 'unconditional love']",13,religion_custom
2112,37608,prying into the personal lives of others.,"Jane works as a psychologist and her client is a potential threat to society. The client's personal information, if disclosed, could prevent a possible harm to the public, but it would breach the client's privacy rights. Should Jane disclose her client's personal information to the authorities?",to_do,Disclose Information,"Jane discloses her client's information to authorities, breaching confidentiality. The client sues Jane for violating privacy rights and her reputation as a trustworthy psychologist is tarnished. She loses her license and her career suffers.","['professional responsibility', 'right to privacy', 'integrity', 'trust']",3,role_duty_responsibility
2113,37608,prying into the personal lives of others.,"Jane works as a psychologist and her client is a potential threat to society. The client's personal information, if disclosed, could prevent a possible harm to the public, but it would breach the client's privacy rights. Should Jane disclose her client's personal information to the authorities?",not_to_do,Not Disclose Information,"Jane decides not to disclose the information, respecting her client's privacy. Later, the client inflicts harm on society, as feared. Jane faces public backlash and guilt for not reporting, resulting in mental stress and self-doubt.","['respect for privacy', 'right to privacy', 'right to safety', 'professional integrity', 'safety']",3,role_duty_responsibility
2114,37614,getting jealous of other people's gifts.,"It's Christmas morning and everyone is opening their presents. You notice that your sibling received a much more expensive gift than you did, sparking feelings of jealousy and resentment. Should you confront your parents about the perceived unfairness, potentially creating conflict on a festive day?",to_do,Confront Parents,"You voice your feelings about the perceived favoritism. This leads to an argument, ruining the festive atmosphere. You feel vindicated, but your family's Christmas morning is spoiled by tension and unresolved issues.",['respect for personal space'],55,event_daily_life
2115,37614,getting jealous of other people's gifts.,"It's Christmas morning and everyone is opening their presents. You notice that your sibling received a much more expensive gift than you did, sparking feelings of jealousy and resentment. Should you confront your parents about the perceived unfairness, potentially creating conflict on a festive day?",not_to_do,Not Confront Parents,"You swallow your feelings of resentment and put on a happy face. However, the unaddressed feelings of jealousy leave a bitter taste in your mouth. The Christmas day passes smoothly, but your feelings of being less preferred linger, affecting your self-esteem.","['self', 'endurance']",55,event_daily_life
2116,37617,"being mad at anyone, for whatever reason","You are a teacher who is currently mad at one of your students for consistently disrupting the class. However, it's known that this student comes from a troubled home and acts out as a form of seeking attention. Should you continue to discipline this student like any other, potentially pushing them further away, or should you seek alternative ways to address the issue, such as counselling or mentoring, even if it means making an exception?",to_do,Continue Disciplining,"By continuing to discipline the student, the teacher may unintentionally push them further into their disruptive behavior, causing their academic performance to deteriorate even more. This could lead to a negative cycle of punishment, rebellion, and resentment.","['fairness', 'respect', 'accountability', 'equality']",0,school
2117,37617,"being mad at anyone, for whatever reason","You are a teacher who is currently mad at one of your students for consistently disrupting the class. However, it's known that this student comes from a troubled home and acts out as a form of seeking attention. Should you continue to discipline this student like any other, potentially pushing them further away, or should you seek alternative ways to address the issue, such as counselling or mentoring, even if it means making an exception?",not_to_do,Not Discipline,"If the teacher chooses not to discipline the student and focuses on counseling instead, they risk other students feeling that there is favoritism or leniency toward misbehavior. This may lead to a decline in overall classroom discipline and respect for the teacher.","['empathy', 'self', 'guidance', 'tolerance', 'inclusivity']",0,school
2118,37679,reaching a point where you can talk openly with your spouse.,"You've been married for a number of years and have finally reached a point where you and your spouse can talk openly about anything. During one of these open discussions, you find out about a significant financial mistake your spouse made that could potentially put your family in debt. Should you confront your spouse about the financial mistake or should you let it slide to maintain peace in the family?",to_do,Confront your spouse,"You confront your spouse about the financial mistake. The confrontation escalates into a huge argument, causing unnecessary stress and tension in the family. Your spouse feels cornered and defensive, causing a rift in your relationship that takes a long time to heal.","['honesty', 'accountability', 'security', 'trust', 'professionalism']",4,comitted_relationship
2119,37679,reaching a point where you can talk openly with your spouse.,"You've been married for a number of years and have finally reached a point where you and your spouse can talk openly about anything. During one of these open discussions, you find out about a significant financial mistake your spouse made that could potentially put your family in debt. Should you confront your spouse about the financial mistake or should you let it slide to maintain peace in the family?",not_to_do,Do not confront your spouse,"You decide not to confront your spouse to maintain peace. However, the financial mistake continues to affect the family's finances, causing you stress and worry. The problem grows over time, leading to more severe financial hardships that could have been avoided with earlier intervention. The accumulated stress affects your relationship and family life.","['patience', 'trust', 'peace', 'patience', 'confidentiality']",4,comitted_relationship
